,DATE,WEEK,COUNTRY,size
725,24/08/2021,35,Honduras,3
352,19/08/2021,34,Malaysia,3
494,21/08/2021,34,Iceland,3
351,19/08/2021,34,Lithuania,3
440,20/08/2021,34,Panama,3
504,21/08/2021,34,Lebanon,3
700,23/08/2021,35,Virgin Islands (U.S.),3
722,24/08/2021,35,Ghana,3
613,22/08/2021,35,Ukraine,3
407,20/08/2021,34,Egypt,3
705,24/08/2021,35,Belgium,3
707,24/08/2021,35,Brazil,3
715,24/08/2021,35,Dominican Republic,3
625,23/08/2021,35,Aruba,3
622,23/08/2021,35,Albania,3
33,04/08/2021,32,France,3
361,19/08/2021,34,Oman,3
324,19/08/2021,34,Curaçao,3
585,22/08/2021,35,Malaysia,3
434,20/08/2021,34,Netherlands,3
482,21/08/2021,34,Curaçao,3
568,22/08/2021,35,Honduras,3
771,25/08/2021,35,Belgium,3
569,22/08/2021,35,Hungary,3
560,22/08/2021,35,Egypt,3
52,05/08/2021,32,Ukraine,3
514,21/08/2021,34,Panama,3
681,23/08/2021,35,Qatar,3
578,22/08/2021,35,Japan,3
366,19/08/2021,34,Philippines,3
405,20/08/2021,34,Dominican Republic,3
558,22/08/2021,35,Dominican Republic,3
761,24/08/2021,35,Ukraine,3
227,16/08/2021,34,Brazil,2
207,15/08/2021,34,Portugal,2
998,27/08/2021,35,Somalia,2
640,23/08/2021,35,Dominica,2
386,19/08/2021,34,Venezuela (Bolivarian Republic of),2
668,23/08/2021,35,Morocco,2
948,27/08/2021,35,Curaçao,2
1193,30/08/2021,36,Hungary,2
50,05/08/2021,32,Poland,2
638,23/08/2021,35,Côte d'Ivoire,2
532,21/08/2021,34,Ukraine,2
119,11/08/2021,33,Hong Kong,2
44,05/08/2021,32,Brazil,2
951,27/08/2021,35,Côte d'Ivoire,2
1011,27/08/2021,35,Virgin Islands (U.S.),2
1012,28/08/2021,35,Andorra,2
1208,30/08/2021,36,Mauritius,2
1184,30/08/2021,36,Finland,2
1017,28/08/2021,35,Bolivia (Plurinational State of),2
232,16/08/2021,34,Colombia,2
