,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
457,20/08/2021,34,Turkey,293.16
425,20/08/2021,34,"Korea, Republic of",291.87
363,19/08/2021,34,Panama,291.13
448,20/08/2021,34,Russian Federation,289.96
1177,30/08/2021,36,Colombia,289.65000000000003
545,22/08/2021,35,Belgium,288.87
539,22/08/2021,35,Argentina,285.18
280,17/08/2021,34,Poland,284.56
781,25/08/2021,35,Ecuador,282.22
860,26/08/2021,35,Dominican Republic,281.48
1149,29/08/2021,36,Puerto Rico,281.48
641,23/08/2021,35,Dominican Republic,280.74
420,20/08/2021,34,Israel,280.0
1183,30/08/2021,36,Egypt,276.72
791,25/08/2021,35,India,276.02000000000004
532,21/08/2021,34,Ukraine,273.9
458,20/08/2021,34,Ukraine,273.9
992,27/08/2021,35,Puerto Rico,271.09000000000003
479,21/08/2021,34,Colombia,271.08000000000004
582,22/08/2021,35,Kuwait,270.35
369,19/08/2021,34,Puerto Rico,269.61
402,20/08/2021,34,Costa Rica,269.61
111,10/08/2021,33,Spain,266.38
130,12/08/2021,33,Germany,262.95
124,11/08/2021,33,Slovakia,257.76
1178,30/08/2021,36,Costa Rica,257.71000000000004
347,19/08/2021,34,"Korea, Republic of",256.97
831,25/08/2021,35,Uruguay,256.23
365,19/08/2021,34,Peru,256.23
418,20/08/2021,34,India,249.48000000000002
915,26/08/2021,35,Singapore,248.06
663,23/08/2021,35,"Korea, Republic of",247.69000000000003
371,19/08/2021,34,Russian Federation,246.95
126,11/08/2021,33,United Arab Emirates,246.5
717,24/08/2021,35,Egypt,245.10000000000002
553,22/08/2021,35,Costa Rica,245.10000000000002
669,23/08/2021,35,Netherlands,244.44
1105,29/08/2021,36,Colombia,242.11
283,17/08/2021,34,Ukraine,241.89999999999998
686,23/08/2021,35,Singapore,238.05
261,16/08/2021,34,Ukraine,235.37
861,26/08/2021,35,Ecuador,233.20000000000002
159,14/08/2021,33,Canada,232.99
1159,29/08/2021,36,Switzerland,232.62
441,20/08/2021,34,Peru,232.46
1064,28/08/2021,35,Peru,232.46
1204,30/08/2021,36,Kuwait,231.72000000000003
392,20/08/2021,34,Austria,231.0
665,23/08/2021,35,Lebanon,230.98000000000002
642,23/08/2021,35,Ecuador,230.97
219,15/08/2021,34,United Arab Emirates,230.24
382,19/08/2021,34,Ukraine,229.66
174,15/08/2021,34,Belgium,229.42000000000002
309,19/08/2021,34,Austria,226.74
680,23/08/2021,35,Puerto Rico,223.55
1265,31/08/2021,36,India,222.07000000000002
634,23/08/2021,35,Costa Rica,221.33
999,27/08/2021,35,South Africa,221.33
702,24/08/2021,35,Argentina,221.33
1111,29/08/2021,36,Dominican Republic,220.59
856,26/08/2021,35,Cyprus,219.19
148,13/08/2021,33,Mexico,218.63
1223,30/08/2021,36,Puerto Rico,213.89
525,21/08/2021,34,South Africa,210.93
387,19/08/2021,34,Virgin Islands (U.S.),209.43
297,18/08/2021,34,Norway,208.93
1068,28/08/2021,35,Puerto Rico,207.21
1013,28/08/2021,35,Argentina,207.21
251,16/08/2021,34,Poland,205.57
719,24/08/2021,35,Finland,202.71
796,25/08/2021,35,"Korea, Republic of",201.99
216,15/08/2021,34,Switzerland,201.70000000000002
812,25/08/2021,35,Philippines,198.3
903,26/08/2021,35,Panama,198.3
765,24/08/2021,35,Uruguay,197.56
699,23/08/2021,35,Uruguay,197.14000000000001
1118,29/08/2021,36,Guatemala,196.82000000000002
593,22/08/2021,35,Panama,196.82000000000002
339,19/08/2021,34,Hungary,196.63
603,22/08/2021,35,Serbia,196.08
468,21/08/2021,34,Argentina,196.08
628,23/08/2021,35,Bahamas,196.08
1275,31/08/2021,36,Morocco,196.08
959,27/08/2021,35,Guatemala,194.59
515,21/08/2021,34,Paraguay,194.58
624,23/08/2021,35,Argentina,193.83
926,26/08/2021,35,Uruguay,193.10000000000002
1018,28/08/2021,35,Brazil,192.75
93,09/08/2021,33,Brazil,190.95999999999998
1200,30/08/2021,36,Japan,186.42000000000002
210,15/08/2021,34,Russian Federation,186.29000000000002
1045,28/08/2021,35,Israel,184.18
898,26/08/2021,35,Nicaragua,182.70000000000002
289,18/08/2021,34,Chile,180.48000000000002
279,17/08/2021,34,Norway,179.07999999999998
1174,30/08/2021,36,Brazil,178.13
480,21/08/2021,34,Costa Rica,177.98000000000002
373,19/08/2021,34,Singapore,177.83
1235,30/08/2021,36,Turkey,176.47
1237,30/08/2021,36,United Arab Emirates,175.27
629,23/08/2021,35,Belgium,174.73000000000002
445,20/08/2021,34,Puerto Rico,173.05
920,26/08/2021,35,Trinidad and Tobago,173.05
453,20/08/2021,34,South Africa,172.31
1243,31/08/2021,36,Argentina,172.31
483,21/08/2021,34,Dominican Republic,172.31
1050,28/08/2021,35,Kuwait,172.3
938,27/08/2021,35,Bolivia (Plurinational State of),171.57000000000002
584,22/08/2021,35,Lebanon,171.57
1206,30/08/2021,36,Luxembourg,171.31
953,27/08/2021,35,Ecuador,167.1
1035,28/08/2021,35,Guatemala,167.1
1231,30/08/2021,36,Sri Lanka,166.36
